Player,Team,Pos,name,GSIS_ID,Birth_date,season
Dexter McCluster,TEN,RB,D.McCluster,00-0027651,1988-08-25,2014
Ronnie Brown,SD,RB,R.Brown,00-0023437,1981-12-12,2014
Michael Cox,NYG,RB,M.Cox,00-0030128,1988-11-14,2014
Maurice Jones-Drew,OAK,RB,M.Jones-Drew,00-0024275,1985-03-23,2014
Damien Williams,MIA,RB,D.Williams,00-0030874,1992-04-03,2014
Jorvorskie Lane,TB,FB,J.Lane,00-0029619,1987-02-04,2014
Lance Dunbar,DAL,RB,L.Dunbar,00-0029004,1990-01-25,2014
George Winn,DET,RB,G.Winn,00-0030247,1990-11-10,2014
Chris Thompson,WAS,RB,C.Thompson,00-0030404,1990-10-20,2014
Joe Banyard,MIN,RB,J.Banyard,00-0029048,1988-11-12,2014
Marcel Reece,OAK,FB,M.Reece,00-0026393,1985-06-23,2014
Brandon Bolden,NE,RB,B.Bolden,00-0029239,1990-01-26,2014
John Kuhn,GB,FB,J.Kuhn,00-0022999,1982-09-09,2014
Silas Redd,WAS,RB,S.Redd,00-0031008,1992-03-01,2014
LaMichael James,MIA,RB,L.James,00-0029260,1989-10-22,2014
DuJuan Harris,GB,RB,D.Harris,00-0028409,1988-09-03,2014
Marion Grice,ARI,RB,M.Grice,00-0030999,1991-04-10,2014
Jeremy Stewart,DEN,RB,J.Stewart,00-0029441,1989-02-17,2014
Theo Riddick,DET,RB,T.Riddick,00-0030107,1991-05-04,2014
Leon Washington,TEN,RB,L.Washington,00-0024332,1982-08-29,2014
Cyrus Gray,KC,RB,C.Gray,00-0029298,1989-11-18,2014
Mike James,TB,RB,M.James,00-0030391,1991-04-13,2014
Dri Archer,PIT,RB,D.Archer,00-0031392,1991-08-09,2014
Josh Harris,PIT,RB,J.Harris,00-0031450,1991-01-22,2014
Alfonso Smith,SF,RB,A.Smith,00-0027346,1987-01-23,2014
Austin Johnson,NO,FB,A.Johnson,00-0029729,1989-06-16,2014
Rex Burkhead,CIN,RB,R.Burkhead,00-0030288,1990-07-02,2014
Orleans Darkwa,NYG,RB,O.Darkwa,00-0030860,1992-02-28,2014
Zurlon Tipton,IND,RB,Z.Tipton,00-0030855,1989-04-27,2014
Fitzgerald Toussaint,BAL,RB,F.Toussaint,00-0031332,1990-05-04,2014
Cedric Peerman,CIN,RB,C.Peerman,00-0026932,1986-10-10,2014
Trey Watts,STL,RB,T.Watts,00-0030985,1991-02-13,2014
Travaris Cadet,NO,RB,T.Cadet,00-0029205,1989-02-01,2014
Frank Summers,BUF,FB,F.Summers,00-0026926,1985-09-06,2014
Jerome Felton,MIN,FB,J.Felton,00-0026286,1986-07-03,2014
John Conner,NYJ,FB,J.Conner,00-0027739,1987-06-08,2014
Joe McKnight,KC,RB,J.McKnight,00-0027712,1988-04-16,2014
Darrel Young,WAS,FB,D.Young,00-0026852,1987-04-08,2014
Jed Collins,DET,FB,J.Collins,00-0026072,1986-03-03,2014
Henry Hynoski,NYG,FB,H.Hynoski,00-0028492,1988-12-30,2014
Tommy Bohanon,NYJ,FB,T.Bohanon,00-0030112,1990-09-10,2014
Robert Hughes,ARI,RB,R.Hughes,00-0028345,1989-06-21,2014
Edwin Baker,NO,RB,E.Baker,00-0029317,1991-06-01,2014
Jackie Battle,TEN,RB,J.Battle,00-0025701,1983-10-01,2014
Bruce Miller,SF,FB,B.Miller,00-0028149,1987-08-06,2014
